TITLE,LOCATION,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES,PRICE_NPR,RATE_VALUE,RATE_UNIT,RATE_DENOMINATOR,LAND_AREA_AANA,BUILDUP_AREA_SQFT,ROAD_ACCESS_FEET
 House for Sale,"Imadol, Lalitpur",West,3.0,5.0,4.0,2076 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Modular Kitchen', 'Closet', 'Dining Room', 'Pantry', 'Bed Room']",29000000.0,,,,4.0,,12.0
 House for Sale,"Satdobato, Lalitpur",West,4.5,5.0,6.0,2076 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Parquet', 'Drinking Water', 'Parking', 'Modular Kitchen', 'Closet', 'Bed Room', 'Pantry', 'Dining Room', 'Bathroom', 'Store Room']",47500000.0,,,,3.0,,10.0
4 BHK House for Sale,"Imadol, Lalitpur",West,2.5,4.0,4.0,2060 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Closet', 'Modular Kitchen', 'MiCrowave', 'Bed Room', 'Dining Room']",19900000.0,,,,2.3,,10.0
Bungalow House for Sale,"Bhaisepati, Lalitpur",North-West,2.5,4.0,3.0,2059 B.S,4 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Balcony', 'Parking', 'Drinking Water', 'Garden', 'Modular Kitchen', 'Internet', 'Closet', 'MiCrowave']",40000000.0,,,,7.0,,12.0
 House for Rent,"Maharajgunj, Kathmandu",South,2.0,4.0,4.0,2071 B.S,4 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Parquet', 'Parking', 'Drinking Water', 'Closet', 'Modular Kitchen', 'Bed Room', 'Bathroom', 'Living Room', 'Guest Room', 'Prayer Room']",12000000.0,,,,6.0,,20.0
Bungalow House for Rent,"Bhaisepati, Lalitpur",South-East,2.5,6.0,5.0,2076 B.S,4 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Gym']",27000000.0,,,,6.0,,12.0
3 BHK House for Sale,"Bhaisepati, Lalitpur",North-West,2.5,4.0,3.0,2074 B.S,4 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Water Purifier', 'Fridge', 'Sofa', 'Closet', 'Internet', 'MiCrowave']",33000000.0,,,,3.2,,13.0
 House for Sale,"Budhanilkantha, Kathmandu",North-East,2.5,5.0,4.0,2065 B.S,1 CaRs.  & 2 Bikes,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Closet', 'Bed Room', 'Dining Room']",40000000.0,,,,4.3,,14.0
 House for Sale,"Gyaneshwor, Kathmandu",West,5.5,13.0,5.0,2066 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Modular Kitchen', 'Power Backup', 'Closet', 'Dining Room', 'Pantry']",45000000.0,,,,2.2,,10.0
 House for Sale,"Bhaisepati, Lalitpur",East,3.0,5.0,5.0,2075 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Terrace', 'Power Backup', 'Drainage', 'Drinking Water', 'Parking', 'Balcony', 'Sofa', 'Fridge']",30000000.0,,,,5.0,,12.0
